Designator,Mid X,Mid Y,Rotation,Layer
C1,93.905,-65.12,90.0,top
C10,108.555183,-61.646434,0.0,top
C12,114.2,-68.3,0.0,top
C13,112.455183,-75.696434,90.0,top
C14,107.0,-56.7,180.0,top
C15,114.235183,-58.046434,90.0,top
C16,113.885183,-63.956434,0.0,top
C17,93.6,-67.9,270.0,top
C19,94.055183,-54.096434,90.0,top
C2,110.805183,-56.746434,0.0,top
C21,96.005183,-58.496434,90.0,top
C3,95.4,-63.1,270.0,top
C4,110.005183,-60.096434,90.0,top
C5,92.605,-63.12,270.0,top
C6,109.005183,-60.096434,90.0,top
C7,108.005183,-60.096434,90.0,top
C8,103.5,-62.0,180.0,top
C9,107.0,-57.7,180.0,top
J1,103.555183,-85.125,270.0,bottom
J2,103.555183,-85.125,270.0,top
L1,98.018156,-61.7,90.0,top
P1,103.555183,-54.146434,0.0,top
R1,94.1,-61.5,270.0,top
R2,98.4,-65.4,0.0,top
R3,99.5,-64.4,0.0,top
R4,99.705183,-57.546434,180.0,top
R5,94.7,-67.9,270.0,top
R6,96.61,-74.2,180.0,top
R7,94.6,-74.2,0.0,top
R8,114.3,-65.6,90.0,top
U1,106.755183,-66.796434,90.0,top
U2,98.005183,-69.996434,90.0,top
U4,93.117683,-58.346434,90.0,top
Y1,113.135183,-61.576434,180.0,top
