Designator,Mid X,Mid Y,Rotation,Layer
C1,92.705183,-64.996434,90.0,top
C10,108.555183,-61.646434,0.0,top
C12,114.060183,-67.996434,0.0,top
C13,112.455183,-75.696434,90.0,top
C14,103.555183,-60.046434,180.0,top
C15,114.235183,-58.046434,90.0,top
C16,113.885183,-63.956434,0.0,top
C17,97.755183,-66.096434,0.0,top
C19,94.055183,-54.096434,90.0,top
C2,110.805183,-56.746434,0.0,top
C21,96.005183,-58.496434,90.0,top
C3,95.345183,-64.496434,90.0,top
C4,110.005183,-60.096434,90.0,top
C5,97.805183,-61.246434,90.0,top
C6,109.005183,-60.096434,90.0,top
C7,108.005183,-60.096434,90.0,top
C8,101.230183,-67.696434,270.0,top
C9,102.905183,-61.196434,180.0,top
J1,103.555183,-85.721434,270.0,bottom
J2,103.555183,-85.721434,270.0,top
L1,97.525183,-64.306434,90.0,top
P1,103.555183,-54.146434,0.0,top
R1,95.505183,-61.746434,0.0,top
R2,100.505183,-66.096434,0.0,top
R3,100.505183,-65.046434,0.0,top
R4,99.705183,-57.546434,180.0,top
R5,95.555183,-66.096434,180.0,top
R6,101.955183,-72.546434,270.0,top
R7,104.005183,-72.496434,270.0,top
R8,112.455183,-64.896434,90.0,top
U1,106.755183,-66.796434,90.0,top
U2,98.005183,-69.996434,90.0,top
U4,93.117683,-58.346434,90.0,top
Y1,113.135183,-61.576434,180.0,top
